ID,enteredTime,movementTrack,exitTime
296,39,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",53
298,39,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",53
299,39,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",53
308,40,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",53
313,40,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",53
216,34,"[1, -1, -1, 7, 7, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",54
259,37,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",54
261,37,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",54
272,38,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",54
278,38,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",54
285,39,"[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12]",54
